,name,value
0,rolandtichy,0.6771868787276342
1,hartes_geld,0.6605367793240556
2,reitschuster,0.6237574552683897
3,lawyerberlin,0.6222664015904572
4,steinhoefel,0.6205268389662028
5,dushanwegner,0.5862326043737575
6,_donalphonso,0.5837475149105368
7,hallaschka_hh,0.580765407554672
8,alice_weidel,0.5593936381709742
9,shakriet,0.5484592445328031
10,maltekaufmann,0.5320576540755467
11,steinbacherika,0.5161530815109344
12,louiecrit,0.5156560636182903
13,tichyseinblick,0.49875745526838966
14,iq_stimulator,0.4960238568588469
15,alicologne,0.4840954274353877
16,junge_freiheit,0.4788767395626243
17,eddie_1412,0.46570576540755465
18,drkissler,0.4639662027833002
19,georg_pazderski,0.4609840954274354
20,einzelfallinfos,0.4510437375745527
21,sirschnee,0.44831013916500995
22,beatrix_vstorch,0.4480616302186879
23,joanacotar,0.44681908548707755
24,philipplickert,0.4463220675944334
25,arnd_diringer,0.4440854870775348
26,drdavidberger,0.44259443339960236
27,exgruene,0.4356361829025845
28,netzdenunziant,0.43290258449304175
29,maxotte_says,0.4316600397614314
30,uwe_junge_mdl,0.42992047713717696
31,kittypunk7,0.42768389662027834
32,schweizok2,0.4224652087475149
33,fern_schreiber,0.4207256461232604
34,achgut_com,0.4172465208747515
35,michael_leh,0.4157554671968191
36,deutsch365,0.41451292246520877
37,shlomosapiens,0.4120278330019881
38,m_t_franz,0.4018389662027833
39,drumheadberlin,0.3961232604373757
40,dpolghh,0.39165009940357853
41,afd,0.3894135188866799
42,gtzfrmming,0.38817097415506957
43,helllud123,0.3874254473161034
44,afdimbundestag,0.3856858846918489
45,krk979,0.38220675944334
46,ibikus31,0.38096421471172964
47,joerg_meuthen,0.3802186878727634
48,gottfriedcurio,0.37997017892644136
49,frank_pasemann,0.37847912524850896
50,bimbas_world,0.37624254473161034
51,andreaschlegel3,0.3754970178926441
52,brudervom,0.3745029821073559
53,ichbinkoelnerin,0.37326043737574555
54,birgit_kelle,0.37326043737574555
55,baerbeli04,0.3705268389662028
56,haraldbecker80,0.36456262425447317
57,vonschwer,0.36307157057654077
58,norbertbolz,0.36083499005964215
59,koeppelroger,0.36083499005964215
60,kachelmann,0.35785288270377735
61,pinkcrazypony,0.356610337972167
62,henrykstoeckl,0.3551192842942346
63,der_monk,0.3548707753479125
64,drbrandner,0.3548707753479125
65,sonjadelarosa7,0.3523856858846918
66,realdonaldtrump,0.3523856858846918
67,zhangdanhong,0.3476640159045726
68,matteosalvinimi,0.3474155069582505
69,renetruninger,0.34642147117296224
70,achimspiegel,0.34592445328031807
71,krahmax,0.34592445328031807
72,gundel_gaukeley,0.34493041749502984
73,spiro0815,0.3446819085487077
74,ahmadmansour__,0.34343936381709744
75,markus_krall,0.34319085487077533
76,publizistikon,0.34169980119284293
77,den_tyske,0.3379721669980119
78,burger_ein,0.33474155069582506
79,emrich_5933,0.33399602385685884
80,der__patriot,0.33250497017892644
81,petrbystronafd,0.3302683896620278
82,mitschalexander,0.32852882703777336
83,frreschke,0.327286282306163
84,compactmagazin,0.32480119284294234
85,hugomuellervogg,0.3245526838966203
86,fackfellowat,0.3240556660039761
87,neythomas,0.32380715705765406
88,willnurschreibn,0.32007952286282304
89,wokeup777,0.31858846918489064
90,kokolores20,0.3133697813121272
91,houelle_beck,0.3116302186878728
92,haraldlaatsch,0.30989065606361826
93,wasistzeitgeist,0.30790258449304175
94,lars9596,0.3066600397614314
95,stbrandner,0.3024353876739563
96,marcfelixserrao,0.3019383697813121
97,ungebeten1,0.3019383697813121
98,eysvog3l,0.30168986083499005
99,zentralrat1,0.30119284294234594
